MESSAGEDATE,"station_name","wl_radar","wl_radar_QC","water_sea_level",lat,lon
"2024-11-30 23:50:00",AMBON,"-8.367",1,"0.471","-3.79078","128.10118"
"2024-11-30 23:40:00",AMBON,"-8.384",1,"0.447","-3.79078","128.10118"
"2024-11-30 23:30:00",AMBON,"-8.392",1,"0.435","-3.79078","128.10118"
"2024-11-30 23:20:00",AMBON,"-8.389",1,"0.441","-3.79078","128.10118"
"2024-11-30 23:10:00",AMBON,"-8.394",1,"0.435","-3.79078","128.10118"
"2024-11-30 23:00:00",AMBON,"-8.391",1,"0.437","-3.79078","128.10118"
"2024-11-30 22:50:00",AMBON,"-8.38",1,"0.453","-3.79078","128.10118"
"2024-11-30 22:40:00",AMBON,"-8.375",1,"0.46","-3.79078","128.10118"
"2024-11-30 22:30:00",AMBON,"-8.365",1,"0.471","-3.79078","128.10118"
"2024-11-30 22:20:00",AMBON,"-8.346",1,"0.488","-3.79078","128.10118"
"2024-11-30 22:10:00",AMBON,"-8.315",1,"0.524","-3.79078","128.10118"
"2024-11-30 22:00:00",AMBON,"-8.261",1,"0.573","-3.79078","128.10118"
"2024-11-30 21:50:00",AMBON,"-8.198",1,"0.599","-3.79078","128.10118"
"2024-11-30 21:40:00",AMBON,"-8.142",1,"0.656","-3.79078","128.10118"
"2024-11-30 21:30:00",AMBON,"-8.096",1,"0.697","-3.79078","128.10118"
"2024-11-30 21:20:00",AMBON,"-8.052",1,"0.747","-3.79078","128.10118"
"2024-11-30 21:10:00",AMBON,"-8.007",1,"0.799","-3.79078","128.10118"
"2024-11-30 21:00:00",AMBON,"-7.98",1,"0.79","-3.79078","128.10118"
"2024-11-30 20:50:00",AMBON,"-7.942",1,"0.849","-3.79078","128.10118"
"2024-11-30 20:40:00",AMBON,"-7.886",1,"0.883","-3.79078","128.10118"
"2024-11-30 20:30:00",AMBON,"-7.833",1,"0.943","-3.79078","128.10118"
"2024-11-30 20:20:00",AMBON,"-7.78",1,"1.009","-3.79078","128.10118"
"2024-11-30 20:10:00",AMBON,"-7.706",1,"1.065","-3.79078","128.10118"
"2024-11-30 20:00:00",AMBON,"-7.612",1,"1.184","-3.79078","128.10118"
