MESSAGEDATE,"station_name","wl_radar","wl_radar_QC","water_sea_level",lat,lon
"2023-10-13 04:20:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 04:30:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 04:40:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 04:50:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 05:00:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 05:10:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 05:20:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 05:30:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 05:40:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 05:50:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 06:00:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 06:10:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 06:20:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 06:30:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 06:40:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 06:50:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 07:00:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 07:10:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 07:20:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 07:30:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 07:40:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 07:50:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 08:00:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 08:10:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 08:20:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 08:30:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 08:40:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 08:50:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 09:00:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 09:10:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 09:20:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 09:30:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 09:40:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 09:50:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 10:00:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 10:10:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 10:20:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 10:30:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 10:40:00",BIAK,"2.44819",1,"-","-1.18568","136.07683"
"2023-10-13 10:50:00",BIAK,"2.41819",1,"6.534","-1.18568","136.07683"
"2023-10-13 11:40:00",BIAK,"-",9,"-","-1.18568","136.07683"
"2023-10-13 11:50:00",BIAK,"2.16619",1,"2.185","-1.18568","136.07683"
"2023-10-13 12:00:00",BIAK,"2.11219",1,"2.129","-1.18568","136.07683"
"2023-10-13 12:10:00",BIAK,"2.05519",1,"2.07","-1.18568","136.07683"
"2023-10-13 12:20:00",BIAK,"2.00219",1,"2.017","-1.18568","136.07683"
"2023-10-13 12:30:00",BIAK,"1.94519",1,"1.959","-1.18568","136.07683"
"2023-10-13 12:40:00",BIAK,"1.88719",1,"1.899","-1.18568","136.07683"
"2023-10-13 12:50:00",BIAK,"1.83119",1,"1.844","-1.18568","136.07683"
"2023-10-13 13:00:00",BIAK,"1.78419",1,"1.795","-1.18568","136.07683"
"2023-10-13 13:10:00",BIAK,"1.74019",1,"1.753","-1.18568","136.07683"
"2023-10-13 13:20:00",BIAK,"1.70319",1,"1.711","-1.18568","136.07683"
"2023-10-13 13:30:00",BIAK,"1.65719",1,"1.666","-1.18568","136.07683"
"2023-10-13 13:40:00",BIAK,"1.61119",1,"1.62","-1.18568","136.07683"
"2023-10-13 13:50:00",BIAK,"1.57519",1,"1.579","-1.18568","136.07683"
