MESSAGEDATE,"station_name","wl_radar","wl_radar_QC",lat,lon
"2023-11-17 00:00:00",JAMBI,"4.543",1,"-0.80324","103.483"
"2023-11-17 00:10:00",JAMBI,"4.508",1,"-0.80324","103.483"
"2023-11-17 00:20:00",JAMBI,"4.478",1,"-0.80324","103.483"
"2023-11-17 00:30:00",JAMBI,"4.439",1,"-0.80324","103.483"
"2023-11-17 00:40:00",JAMBI,"4.399",1,"-0.80324","103.483"
"2023-11-17 00:50:00",JAMBI,"4.357",1,"-0.80324","103.483"
"2023-11-17 01:00:00",JAMBI,"4.312",1,"-0.80324","103.483"
"2023-11-17 01:10:00",JAMBI,"4.265",1,"-0.80324","103.483"
"2023-11-17 01:20:00",JAMBI,"4.216",1,"-0.80324","103.483"
"2023-11-17 01:30:00",JAMBI,"4.163",1,"-0.80324","103.483"
"2023-11-17 01:40:00",JAMBI,"4.108",1,"-0.80324","103.483"
"2023-11-17 01:50:00",JAMBI,"4.058",1,"-0.80324","103.483"
"2023-11-17 02:00:00",JAMBI,"4.007",1,"-0.80324","103.483"
"2023-11-17 02:10:00",JAMBI,"3.957",1,"-0.80324","103.483"
"2023-11-17 02:20:00",JAMBI,"3.916",1,"-0.80324","103.483"
"2023-11-17 02:30:00",JAMBI,"3.868",1,"-0.80324","103.483"
"2023-11-17 02:40:00",JAMBI,"3.825",1,"-0.80324","103.483"
"2023-11-17 02:50:00",JAMBI,"3.789",1,"-0.80324","103.483"
"2023-11-17 03:00:00",JAMBI,"3.76",1,"-0.80324","103.483"
"2023-11-17 03:10:00",JAMBI,"3.731",1,"-0.80324","103.483"
"2023-11-17 03:20:00",JAMBI,"3.708",1,"-0.80324","103.483"
"2023-11-17 03:30:00",JAMBI,"3.693",1,"-0.80324","103.483"
"2023-11-17 03:40:00",JAMBI,"3.682",1,"-0.80324","103.483"
"2023-11-17 03:50:00",JAMBI,"3.678",1,"-0.80324","103.483"
"2023-11-17 04:00:00",JAMBI,"3.68",1,"-0.80324","103.483"
"2023-11-17 04:10:00",JAMBI,"3.693",1,"-0.80324","103.483"
"2023-11-17 04:20:00",JAMBI,"3.711",1,"-0.80324","103.483"
"2023-11-17 04:30:00",JAMBI,"3.73",1,"-0.80324","103.483"
"2023-11-17 04:40:00",JAMBI,"3.756",1,"-0.80324","103.483"
"2023-11-17 04:50:00",JAMBI,"3.791",1,"-0.80324","103.483"
"2023-11-17 05:00:00",JAMBI,"3.84",1,"-0.80324","103.483"
"2023-11-17 05:10:00",JAMBI,"3.895",1,"-0.80324","103.483"
"2023-11-17 05:20:00",JAMBI,"3.949",1,"-0.80324","103.483"
"2023-11-17 05:30:00",JAMBI,"4.009",1,"-0.80324","103.483"
"2023-11-17 05:40:00",JAMBI,"4.075",1,"-0.80324","103.483"
"2023-11-17 05:50:00",JAMBI,"4.135",1,"-0.80324","103.483"
"2023-11-17 06:00:00",JAMBI,"4.198",1,"-0.80324","103.483"
"2023-11-17 06:10:00",JAMBI,"4.253",1,"-0.80324","103.483"
"2023-11-17 06:20:00",JAMBI,"4.3",1,"-0.80324","103.483"
"2023-11-17 06:30:00",JAMBI,"4.349",1,"-0.80324","103.483"
"2023-11-17 06:40:00",JAMBI,"4.397",1,"-0.80324","103.483"
"2023-11-17 06:50:00",JAMBI,"4.438",1,"-0.80324","103.483"
"2023-11-17 07:00:00",JAMBI,"4.481",1,"-0.80324","103.483"
"2023-11-17 07:10:00",JAMBI,"4.521",1,"-0.80324","103.483"
"2023-11-17 07:20:00",JAMBI,"4.563",1,"-0.80324","103.483"
"2023-11-17 07:30:00",JAMBI,"4.603",1,"-0.80324","103.483"
"2023-11-17 07:40:00",JAMBI,"4.635",1,"-0.80324","103.483"
"2023-11-17 07:50:00",JAMBI,"4.679",1,"-0.80324","103.483"
"2023-11-17 08:00:00",JAMBI,"4.728",1,"-0.80324","103.483"
"2023-11-17 08:10:00",JAMBI,"4.763",1,"-0.80324","103.483"
"2023-11-17 08:20:00",JAMBI,"4.785",1,"-0.80324","103.483"
"2023-11-17 08:30:00",JAMBI,"4.808",1,"-0.80324","103.483"
"2023-11-17 08:40:00",JAMBI,"4.822",1,"-0.80324","103.483"
"2023-11-17 08:50:00",JAMBI,"4.842",1,"-0.80324","103.483"
"2023-11-17 09:00:00",JAMBI,"4.845",1,"-0.80324","103.483"
"2023-11-17 09:10:00",JAMBI,"4.837",1,"-0.80324","103.483"
"2023-11-17 09:20:00",JAMBI,"4.828",1,"-0.80324","103.483"
"2023-11-17 09:30:00",JAMBI,"4.8",1,"-0.80324","103.483"
"2023-11-17 09:40:00",JAMBI,"4.765",1,"-0.80324","103.483"
"2023-11-17 09:50:00",JAMBI,"4.727",1,"-0.80324","103.483"
"2023-11-17 10:00:00",JAMBI,"4.668",1,"-0.80324","103.483"
"2023-11-17 10:10:00",JAMBI,"4.591",1,"-0.80324","103.483"
"2023-11-17 10:20:00",JAMBI,"4.516",1,"-0.80324","103.483"
"2023-11-17 10:30:00",JAMBI,"4.432",1,"-0.80324","103.483"
"2023-11-17 10:40:00",JAMBI,"4.335",1,"-0.80324","103.483"
"2023-11-17 10:50:00",JAMBI,"4.23",1,"-0.80324","103.483"
"2023-11-17 11:00:00",JAMBI,"4.132",1,"-0.80324","103.483"
"2023-11-17 11:10:00",JAMBI,"4.038",1,"-0.80324","103.483"
"2023-11-17 11:20:00",JAMBI,"3.934",1,"-0.80324","103.483"
"2023-11-17 11:30:00",JAMBI,"3.825",1,"-0.80324","103.483"
"2023-11-17 11:40:00",JAMBI,"3.712",1,"-0.80324","103.483"
"2023-11-17 11:50:00",JAMBI,"3.598",1,"-0.80324","103.483"
"2023-11-17 12:00:00",JAMBI,"3.488",1,"-0.80324","103.483"
"2023-11-17 12:10:00",JAMBI,"3.38",1,"-0.80324","103.483"
"2023-11-17 12:20:00",JAMBI,"3.264",1,"-0.80324","103.483"
"2023-11-17 12:30:00",JAMBI,"3.15",1,"-0.80324","103.483"
"2023-11-17 12:40:00",JAMBI,"3.036",1,"-0.80324","103.483"
"2023-11-17 12:50:00",JAMBI,"2.928",1,"-0.80324","103.483"
"2023-11-17 13:00:00",JAMBI,"2.822",1,"-0.80324","103.483"
"2023-11-17 13:10:00",JAMBI,"2.72",1,"-0.80324","103.483"
"2023-11-17 13:20:00",JAMBI,"2.624",1,"-0.80324","103.483"
"2023-11-17 13:30:00",JAMBI,"2.531",1,"-0.80324","103.483"
"2023-11-17 13:40:00",JAMBI,"2.435",1,"-0.80324","103.483"
"2023-11-17 13:50:00",JAMBI,"2.335",1,"-0.80324","103.483"
"2023-11-17 14:00:00",JAMBI,"2.238",1,"-0.80324","103.483"
"2023-11-17 14:10:00",JAMBI,"2.144",1,"-0.80324","103.483"
"2023-11-17 14:20:00",JAMBI,"2.056",1,"-0.80324","103.483"
"2023-11-17 14:30:00",JAMBI,"1.974",1,"-0.80324","103.483"
"2023-11-17 14:40:00",JAMBI,"1.888",1,"-0.80324","103.483"
"2023-11-17 14:50:00",JAMBI,"1.812",1,"-0.80324","103.483"
"2023-11-17 15:00:00",JAMBI,"1.741",1,"-0.80324","103.483"
"2023-11-17 15:10:00",JAMBI,"1.669",1,"-0.80324","103.483"
"2023-11-17 15:20:00",JAMBI,"1.603",1,"-0.80324","103.483"
"2023-11-17 15:30:00",JAMBI,"1.537",1,"-0.80324","103.483"
"2023-11-17 15:40:00",JAMBI,"1.474",1,"-0.80324","103.483"
"2023-11-17 15:50:00",JAMBI,"1.414",1,"-0.80324","103.483"
"2023-11-17 16:00:00",JAMBI,"1.355",1,"-0.80324","103.483"
"2023-11-17 16:10:00",JAMBI,"1.304",1,"-0.80324","103.483"
"2023-11-17 16:20:00",JAMBI,"1.258",1,"-0.80324","103.483"
"2023-11-17 16:30:00",JAMBI,"1.213",1,"-0.80324","103.483"
"2023-11-17 16:40:00",JAMBI,"1.173",1,"-0.80324","103.483"
"2023-11-17 16:50:00",JAMBI,"1.139",1,"-0.80324","103.483"
"2023-11-17 17:00:00",JAMBI,"1.109",1,"-0.80324","103.483"
"2023-11-17 17:10:00",JAMBI,"1.086",1,"-0.80324","103.483"
"2023-11-17 17:20:00",JAMBI,"1.069",1,"-0.80324","103.483"
"2023-11-17 17:30:00",JAMBI,"1.059",1,"-0.80324","103.483"
"2023-11-17 17:40:00",JAMBI,"1.056",1,"-0.80324","103.483"
"2023-11-17 17:50:00",JAMBI,"1.07",1,"-0.80324","103.483"
"2023-11-17 18:00:00",JAMBI,"1.108",1,"-0.80324","103.483"
"2023-11-17 18:10:00",JAMBI,"1.172",1,"-0.80324","103.483"
"2023-11-17 18:20:00",JAMBI,"1.256",1,"-0.80324","103.483"
"2023-11-17 18:30:00",JAMBI,"1.349",1,"-0.80324","103.483"
"2023-11-17 18:40:00",JAMBI,"1.447",1,"-0.80324","103.483"
"2023-11-17 18:50:00",JAMBI,"1.546",1,"-0.80324","103.483"
"2023-11-17 19:00:00",JAMBI,"1.654",1,"-0.80324","103.483"
"2023-11-17 19:10:00",JAMBI,"1.769",1,"-0.80324","103.483"
"2023-11-17 19:20:00",JAMBI,"1.896",1,"-0.80324","103.483"
"2023-11-17 19:30:00",JAMBI,"2.026",1,"-0.80324","103.483"
"2023-11-17 19:40:00",JAMBI,"2.161",1,"-0.80324","103.483"
"2023-11-17 19:50:00",JAMBI,"2.289",1,"-0.80324","103.483"
"2023-11-17 20:00:00",JAMBI,"2.427",1,"-0.80324","103.483"
"2023-11-17 20:10:00",JAMBI,"2.565",1,"-0.80324","103.483"
"2023-11-17 20:20:00",JAMBI,"2.703",1,"-0.80324","103.483"
"2023-11-17 20:30:00",JAMBI,"2.84",1,"-0.80324","103.483"
"2023-11-17 20:40:00",JAMBI,"2.983",1,"-0.80324","103.483"
"2023-11-17 20:50:00",JAMBI,"3.133",1,"-0.80324","103.483"
"2023-11-17 21:00:00",JAMBI,"3.278",1,"-0.80324","103.483"
"2023-11-17 21:10:00",JAMBI,"3.416",1,"-0.80324","103.483"
"2023-11-17 21:20:00",JAMBI,"3.548",1,"-0.80324","103.483"
"2023-11-17 21:30:00",JAMBI,"3.682",1,"-0.80324","103.483"
"2023-11-17 21:40:00",JAMBI,"3.808",1,"-0.80324","103.483"
"2023-11-17 21:50:00",JAMBI,"3.918",1,"-0.80324","103.483"
"2023-11-17 22:00:00",JAMBI,"4.024",1,"-0.80324","103.483"
"2023-11-17 22:10:00",JAMBI,"4.123",1,"-0.80324","103.483"
"2023-11-17 22:20:00",JAMBI,"4.21",1,"-0.80324","103.483"
"2023-11-17 22:30:00",JAMBI,"4.292",1,"-0.80324","103.483"
"2023-11-17 22:40:00",JAMBI,"4.362",1,"-0.80324","103.483"
"2023-11-17 22:50:00",JAMBI,"4.421",1,"-0.80324","103.483"
"2023-11-17 23:00:00",JAMBI,"4.477",1,"-0.80324","103.483"
"2023-11-17 23:10:00",JAMBI,"4.524",1,"-0.80324","103.483"
"2023-11-17 23:20:00",JAMBI,"4.555",1,"-0.80324","103.483"
"2023-11-17 23:30:00",JAMBI,"4.589",1,"-0.80324","103.483"
"2023-11-17 23:40:00",JAMBI,"4.618",1,"-0.80324","103.483"
"2023-11-17 23:50:00",JAMBI,"4.637",1,"-0.80324","103.483"
"2023-11-18 00:00:00",JAMBI,"4.659",1,"-0.80324","103.483"
"2023-11-18 00:10:00",JAMBI,"4.664",1,"-0.80324","103.483"
"2023-11-18 00:20:00",JAMBI,"4.664",1,"-0.80324","103.483"
"2023-11-18 00:30:00",JAMBI,"4.659",1,"-0.80324","103.483"
"2023-11-18 00:40:00",JAMBI,"4.642",1,"-0.80324","103.483"
"2023-11-18 00:50:00",JAMBI,"4.628",1,"-0.80324","103.483"
"2023-11-18 01:00:00",JAMBI,"4.613",1,"-0.80324","103.483"
"2023-11-18 01:10:00",JAMBI,"4.586",1,"-0.80324","103.483"
"2023-11-18 01:20:00",JAMBI,"4.552",1,"-0.80324","103.483"
"2023-11-18 01:30:00",JAMBI,"4.521",1,"-0.80324","103.483"
"2023-11-18 01:40:00",JAMBI,"4.486",1,"-0.80324","103.483"
"2023-11-18 01:50:00",JAMBI,"4.448",1,"-0.80324","103.483"
"2023-11-18 02:00:00",JAMBI,"4.403",1,"-0.80324","103.483"
"2023-11-18 02:10:00",JAMBI,"4.358",1,"-0.80324","103.483"
"2023-11-18 02:20:00",JAMBI,"4.308",1,"-0.80324","103.483"
"2023-11-18 02:30:00",JAMBI,"4.259",1,"-0.80324","103.483"
"2023-11-18 02:40:00",JAMBI,"4.209",1,"-0.80324","103.483"
"2023-11-18 02:50:00",JAMBI,"4.16",1,"-0.80324","103.483"
"2023-11-18 03:00:00",JAMBI,"4.12",1,"-0.80324","103.483"
"2023-11-18 03:10:00",JAMBI,"4.085",1,"-0.80324","103.483"
"2023-11-18 03:20:00",JAMBI,"4.051",1,"-0.80324","103.483"
"2023-11-18 03:30:00",JAMBI,"4.011",1,"-0.80324","103.483"
"2023-11-18 03:40:00",JAMBI,"3.983",1,"-0.80324","103.483"
"2023-11-18 03:50:00",JAMBI,"3.967",1,"-0.80324","103.483"
"2023-11-18 04:00:00",JAMBI,"3.951",1,"-0.80324","103.483"
"2023-11-18 04:10:00",JAMBI,"3.945",1,"-0.80324","103.483"
"2023-11-18 04:20:00",JAMBI,"3.945",1,"-0.80324","103.483"
"2023-11-18 04:30:00",JAMBI,"3.954",1,"-0.80324","103.483"
"2023-11-18 04:40:00",JAMBI,"3.972",1,"-0.80324","103.483"
"2023-11-18 04:50:00",JAMBI,"3.99",1,"-0.80324","103.483"
"2023-11-18 05:00:00",JAMBI,"4.009",1,"-0.80324","103.483"
"2023-11-18 05:10:00",JAMBI,"4.035",1,"-0.80324","103.483"
"2023-11-18 05:20:00",JAMBI,"4.069",1,"-0.80324","103.483"
"2023-11-18 05:30:00",JAMBI,"4.104",1,"-0.80324","103.483"
"2023-11-18 05:40:00",JAMBI,"4.142",1,"-0.80324","103.483"
"2023-11-18 05:50:00",JAMBI,"4.18",1,"-0.80324","103.483"
"2023-11-18 06:00:00",JAMBI,"4.227",1,"-0.80324","103.483"
"2023-11-18 06:10:00",JAMBI,"4.273",1,"-0.80324","103.483"
"2023-11-18 06:20:00",JAMBI,"4.32",1,"-0.80324","103.483"
"2023-11-18 06:30:00",JAMBI,"4.368",1,"-0.80324","103.483"
"2023-11-18 06:40:00",JAMBI,"4.412",1,"-0.80324","103.483"
"2023-11-18 06:50:00",JAMBI,"4.46",1,"-0.80324","103.483"
"2023-11-18 07:00:00",JAMBI,"4.498",1,"-0.80324","103.483"
"2023-11-18 07:10:00",JAMBI,"4.539",1,"-0.80324","103.483"
"2023-11-18 07:20:00",JAMBI,"4.572",1,"-0.80324","103.483"
"2023-11-18 07:30:00",JAMBI,"4.595",1,"-0.80324","103.483"
"2023-11-18 07:40:00",JAMBI,"4.631",1,"-0.80324","103.483"
"2023-11-18 07:50:00",JAMBI,"4.663",1,"-0.80324","103.483"
"2023-11-18 08:00:00",JAMBI,"4.694",1,"-0.80324","103.483"
"2023-11-18 08:10:00",JAMBI,"4.727",1,"-0.80324","103.483"
"2023-11-18 08:20:00",JAMBI,"4.758",1,"-0.80324","103.483"
"2023-11-18 08:30:00",JAMBI,"4.789",1,"-0.80324","103.483"
"2023-11-18 08:40:00",JAMBI,"4.811",1,"-0.80324","103.483"
"2023-11-18 08:50:00",JAMBI,"4.836",1,"-0.80324","103.483"
"2023-11-18 09:00:00",JAMBI,"4.865",1,"-0.80324","103.483"
"2023-11-18 09:10:00",JAMBI,"4.885",1,"-0.80324","103.483"
"2023-11-18 09:20:00",JAMBI,"4.9",1,"-0.80324","103.483"
"2023-11-18 09:30:00",JAMBI,"4.906",1,"-0.80324","103.483"
"2023-11-18 09:40:00",JAMBI,"4.907",1,"-0.80324","103.483"
"2023-11-18 09:50:00",JAMBI,"4.899",1,"-0.80324","103.483"
"2023-11-18 10:00:00",JAMBI,"4.892",1,"-0.80324","103.483"
"2023-11-18 10:10:00",JAMBI,"4.89",1,"-0.80324","103.483"
"2023-11-18 10:20:00",JAMBI,"4.843",1,"-0.80324","103.483"
"2023-11-18 10:30:00",JAMBI,"4.781",1,"-0.80324","103.483"
"2023-11-18 10:40:00",JAMBI,"4.718",1,"-0.80324","103.483"
"2023-11-18 10:50:00",JAMBI,"4.648",1,"-0.80324","103.483"
"2023-11-18 11:00:00",JAMBI,"4.564",1,"-0.80324","103.483"
"2023-11-18 11:10:00",JAMBI,"4.482",1,"-0.80324","103.483"
"2023-11-18 11:20:00",JAMBI,"4.403",1,"-0.80324","103.483"
"2023-11-18 11:30:00",JAMBI,"4.313",1,"-0.80324","103.483"
"2023-11-18 11:40:00",JAMBI,"4.228",1,"-0.80324","103.483"
"2023-11-18 11:50:00",JAMBI,"4.132",1,"-0.80324","103.483"
"2023-11-18 12:00:00",JAMBI,"4.028",1,"-0.80324","103.483"
"2023-11-18 12:10:00",JAMBI,"3.918",1,"-0.80324","103.483"
"2023-11-18 12:20:00",JAMBI,"3.799",1,"-0.80324","103.483"
"2023-11-18 12:30:00",JAMBI,"3.682",1,"-0.80324","103.483"
"2023-11-18 12:40:00",JAMBI,"3.568",1,"-0.80324","103.483"
"2023-11-18 12:50:00",JAMBI,"3.459",1,"-0.80324","103.483"
"2023-11-18 13:00:00",JAMBI,"3.347",1,"-0.80324","103.483"
"2023-11-18 13:10:00",JAMBI,"3.236",1,"-0.80324","103.483"
"2023-11-18 13:20:00",JAMBI,"3.127",1,"-0.80324","103.483"
"2023-11-18 13:30:00",JAMBI,"3.021",1,"-0.80324","103.483"
"2023-11-18 13:40:00",JAMBI,"2.916",1,"-0.80324","103.483"
"2023-11-18 13:50:00",JAMBI,"2.822",1,"-0.80324","103.483"
"2023-11-18 14:00:00",JAMBI,"2.735",1,"-0.80324","103.483"
"2023-11-18 14:10:00",JAMBI,"2.643",1,"-0.80324","103.483"
"2023-11-18 14:20:00",JAMBI,"2.554",1,"-0.80324","103.483"
"2023-11-18 14:30:00",JAMBI,"2.464",1,"-0.80324","103.483"
"2023-11-18 14:40:00",JAMBI,"2.378",1,"-0.80324","103.483"
"2023-11-18 14:50:00",JAMBI,"2.286",1,"-0.80324","103.483"
"2023-11-18 15:00:00",JAMBI,"2.198",1,"-0.80324","103.483"
"2023-11-18 15:10:00",JAMBI,"2.114",1,"-0.80324","103.483"
"2023-11-18 15:20:00",JAMBI,"2.035",1,"-0.80324","103.483"
"2023-11-18 15:30:00",JAMBI,"1.963",1,"-0.80324","103.483"
"2023-11-18 15:40:00",JAMBI,"1.893",1,"-0.80324","103.483"
"2023-11-18 15:50:00",JAMBI,"1.828",1,"-0.80324","103.483"
"2023-11-18 16:00:00",JAMBI,"1.762",1,"-0.80324","103.483"
"2023-11-18 16:10:00",JAMBI,"1.706",1,"-0.80324","103.483"
"2023-11-18 16:20:00",JAMBI,"1.666",1,"-0.80324","103.483"
"2023-11-18 16:30:00",JAMBI,"1.627",1,"-0.80324","103.483"
"2023-11-18 16:40:00",JAMBI,"1.578",1,"-0.80324","103.483"
"2023-11-18 16:50:00",JAMBI,"1.52",1,"-0.80324","103.483"
"2023-11-18 17:00:00",JAMBI,"1.461",1,"-0.80324","103.483"
"2023-11-18 17:10:00",JAMBI,"1.405",1,"-0.80324","103.483"
"2023-11-18 17:20:00",JAMBI,"1.356",1,"-0.80324","103.483"
"2023-11-18 17:30:00",JAMBI,"1.315",1,"-0.80324","103.483"
"2023-11-18 17:40:00",JAMBI,"1.281",1,"-0.80324","103.483"
"2023-11-18 17:50:00",JAMBI,"1.253",1,"-0.80324","103.483"
"2023-11-18 18:00:00",JAMBI,"1.236",1,"-0.80324","103.483"
"2023-11-18 18:10:00",JAMBI,"1.231",1,"-0.80324","103.483"
"2023-11-18 18:20:00",JAMBI,"1.237",1,"-0.80324","103.483"
"2023-11-18 18:30:00",JAMBI,"1.259",1,"-0.80324","103.483"
"2023-11-18 18:40:00",JAMBI,"1.295",1,"-0.80324","103.483"
"2023-11-18 18:50:00",JAMBI,"1.337",1,"-0.80324","103.483"
"2023-11-18 19:00:00",JAMBI,"1.392",1,"-0.80324","103.483"
"2023-11-18 19:10:00",JAMBI,"1.48",1,"-0.80324","103.483"
"2023-11-18 19:20:00",JAMBI,"1.582",1,"-0.80324","103.483"
"2023-11-18 19:30:00",JAMBI,"1.685",1,"-0.80324","103.483"
"2023-11-18 19:40:00",JAMBI,"1.78",1,"-0.80324","103.483"
"2023-11-18 19:50:00",JAMBI,"1.868",1,"-0.80324","103.483"
"2023-11-18 20:00:00",JAMBI,"1.963",1,"-0.80324","103.483"
"2023-11-18 20:10:00",JAMBI,"2.069",1,"-0.80324","103.483"
"2023-11-18 20:20:00",JAMBI,"2.196",1,"-0.80324","103.483"
"2023-11-18 20:30:00",JAMBI,"2.333",1,"-0.80324","103.483"
"2023-11-18 20:40:00",JAMBI,"2.469",1,"-0.80324","103.483"
"2023-11-18 20:50:00",JAMBI,"2.605",1,"-0.80324","103.483"
"2023-11-18 21:00:00",JAMBI,"2.739",1,"-0.80324","103.483"
"2023-11-18 21:10:00",JAMBI,"2.874",1,"-0.80324","103.483"
"2023-11-18 21:20:00",JAMBI,"3.011",1,"-0.80324","103.483"
"2023-11-18 21:30:00",JAMBI,"3.148",1,"-0.80324","103.483"
"2023-11-18 21:40:00",JAMBI,"3.284",1,"-0.80324","103.483"
"2023-11-18 21:50:00",JAMBI,"3.413",1,"-0.80324","103.483"
"2023-11-18 22:00:00",JAMBI,"3.537",1,"-0.80324","103.483"
"2023-11-18 22:10:00",JAMBI,"3.661",1,"-0.80324","103.483"
"2023-11-18 22:20:00",JAMBI,"3.782",1,"-0.80324","103.483"
"2023-11-18 22:30:00",JAMBI,"3.891",1,"-0.80324","103.483"
"2023-11-18 22:40:00",JAMBI,"3.99",1,"-0.80324","103.483"
"2023-11-18 22:50:00",JAMBI,"4.078",1,"-0.80324","103.483"
"2023-11-18 23:00:00",JAMBI,"4.159",1,"-0.80324","103.483"
"2023-11-18 23:10:00",JAMBI,"4.234",1,"-0.80324","103.483"
"2023-11-18 23:20:00",JAMBI,"4.309",1,"-0.80324","103.483"
"2023-11-18 23:30:00",JAMBI,"4.374",1,"-0.80324","103.483"
"2023-11-18 23:40:00",JAMBI,"4.431",1,"-0.80324","103.483"
"2023-11-18 23:50:00",JAMBI,"4.48",1,"-0.80324","103.483"
"2023-11-19 00:00:00",JAMBI,"4.52",1,"-0.80324","103.483"
"2023-11-19 00:10:00",JAMBI,"4.554",1,"-0.80324","103.483"
"2023-11-19 00:20:00",JAMBI,"4.585",1,"-0.80324","103.483"
"2023-11-19 00:30:00",JAMBI,"4.618",1,"-0.80324","103.483"
"2023-11-19 00:40:00",JAMBI,"4.642",1,"-0.80324","103.483"
"2023-11-19 00:50:00",JAMBI,"4.654",1,"-0.80324","103.483"
"2023-11-19 01:00:00",JAMBI,"4.668",1,"-0.80324","103.483"
"2023-11-19 01:10:00",JAMBI,"4.669",1,"-0.80324","103.483"
"2023-11-19 01:20:00",JAMBI,"4.664",1,"-0.80324","103.483"
"2023-11-19 01:30:00",JAMBI,"4.657",1,"-0.80324","103.483"
"2023-11-19 01:40:00",JAMBI,"4.646",1,"-0.80324","103.483"
"2023-11-19 01:50:00",JAMBI,"4.633",1,"-0.80324","103.483"
"2023-11-19 02:00:00",JAMBI,"4.612",1,"-0.80324","103.483"
"2023-11-19 02:10:00",JAMBI,"4.594",1,"-0.80324","103.483"
"2023-11-19 02:20:00",JAMBI,"4.563",1,"-0.80324","103.483"
"2023-11-19 02:30:00",JAMBI,"4.536",1,"-0.80324","103.483"
"2023-11-19 02:40:00",JAMBI,"4.506",1,"-0.80324","103.483"
"2023-11-19 02:50:00",JAMBI,"4.465",1,"-0.80324","103.483"
"2023-11-19 03:00:00",JAMBI,"4.422",1,"-0.80324","103.483"
"2023-11-19 03:10:00",JAMBI,"4.386",1,"-0.80324","103.483"
"2023-11-19 03:20:00",JAMBI,"4.346",1,"-0.80324","103.483"
"2023-11-19 03:30:00",JAMBI,"4.297",1,"-0.80324","103.483"
