MESSAGEDATE,"station_name","wl_radar","wl_radar_QC","water_sea_level",lat,lon
"2025-08-31 23:50:00","LABUAN BAJO","2.504",1,"2.625","-8.46055","119.9199"
"2025-08-31 23:40:00","LABUAN BAJO","2.528",1,"2.652","-8.46055","119.9199"
"2025-08-31 23:30:00","LABUAN BAJO","2.546",1,"2.667","-8.46055","119.9199"
"2025-08-31 23:20:00","LABUAN BAJO","2.585",1,"2.71","-8.46055","119.9199"
"2025-08-31 23:10:00","LABUAN BAJO","2.635",1,"2.76","-8.46055","119.9199"
"2025-08-31 23:00:00","LABUAN BAJO","2.66",1,"2.785","-8.46055","119.9199"
"2025-08-31 22:50:00","LABUAN BAJO","2.657",1,"2.78","-8.46055","119.9199"
"2025-08-31 22:40:00","LABUAN BAJO","2.685",1,"2.804","-8.46055","119.9199"
"2025-08-31 22:30:00","LABUAN BAJO","2.729",1,"2.847","-8.46055","119.9199"
"2025-08-31 22:20:00","LABUAN BAJO","2.756",1,"2.879","-8.46055","119.9199"
"2025-08-31 22:10:00","LABUAN BAJO","2.768",1,"2.89","-8.46055","119.9199"
"2025-08-31 22:00:00","LABUAN BAJO","2.772",1,"2.891","-8.46055","119.9199"
"2025-08-31 21:50:00","LABUAN BAJO","2.79",1,"2.913","-8.46055","119.9199"
"2025-08-31 21:40:00","LABUAN BAJO","2.813",1,"2.937","-8.46055","119.9199"
"2025-08-31 21:30:00","LABUAN BAJO","2.81",1,"2.933","-8.46055","119.9199"
"2025-08-31 21:20:00","LABUAN BAJO","2.8",1,"2.922","-8.46055","119.9199"
"2025-08-31 21:10:00","LABUAN BAJO","2.808",1,"2.933","-8.46055","119.9199"
"2025-08-31 21:00:00","LABUAN BAJO","2.822",1,"2.944","-8.46055","119.9199"
"2025-08-31 20:50:00","LABUAN BAJO","2.825",1,"2.948","-8.46055","119.9199"
"2025-08-31 20:40:00","LABUAN BAJO","2.801",1,"2.924","-8.46055","119.9199"
"2025-08-31 20:30:00","LABUAN BAJO","2.79",1,"2.917","-8.46055","119.9199"
"2025-08-31 20:20:00","LABUAN BAJO","2.802",1,"2.929","-8.46055","119.9199"
"2025-08-31 20:10:00","LABUAN BAJO","2.81",1,"2.929","-8.46055","119.9199"
"2025-08-31 20:00:00","LABUAN BAJO","2.781",1,"2.901","-8.46055","119.9199"
"2025-08-31 19:50:00","LABUAN BAJO","2.767",1,"2.887","-8.46055","119.9199"
"2025-08-31 19:40:00","LABUAN BAJO","2.769",1,"2.895","-8.46055","119.9199"
"2025-08-31 19:30:00","LABUAN BAJO","2.777",1,"2.899","-8.46055","119.9199"
"2025-08-31 19:20:00","LABUAN BAJO","2.74",1,"2.858","-8.46055","119.9199"
"2025-08-31 19:10:00","LABUAN BAJO","2.723",1,"2.845","-8.46055","119.9199"
"2025-08-31 19:00:00","LABUAN BAJO","2.718",1,"2.837","-8.46055","119.9199"
"2025-08-31 18:50:00","LABUAN BAJO","2.706",1,"2.826","-8.46055","119.9199"
"2025-08-31 18:40:00","LABUAN BAJO","2.679",1,"2.798","-8.46055","119.9199"
"2025-08-31 18:30:00","LABUAN BAJO","2.653",1,"2.778","-8.46055","119.9199"
"2025-08-31 18:20:00","LABUAN BAJO","2.638",1,"2.76","-8.46055","119.9199"
"2025-08-31 18:10:00","LABUAN BAJO","2.626",1,"2.745","-8.46055","119.9199"
"2025-08-31 18:00:00","LABUAN BAJO","2.604",1,"2.721","-8.46055","119.9199"
"2025-08-31 17:50:00","LABUAN BAJO","2.574",1,"2.696","-8.46055","119.9199"
"2025-08-31 17:40:00","LABUAN BAJO","2.563",1,"2.688","-8.46055","119.9199"
"2025-08-31 17:30:00","LABUAN BAJO","2.545",1,"2.667","-8.46055","119.9199"
"2025-08-31 17:20:00","LABUAN BAJO","2.501",1,"2.621","-8.46055","119.9199"
"2025-08-31 17:10:00","LABUAN BAJO","2.479",1,"2.598","-8.46055","119.9199"
"2025-08-31 17:00:00","LABUAN BAJO","2.463",1,"2.583","-8.46055","119.9199"
"2025-08-31 16:50:00","LABUAN BAJO","2.436",1,"2.557","-8.46055","119.9199"
"2025-08-31 16:40:00","LABUAN BAJO","2.4",1,"2.519","-8.46055","119.9199"
"2025-08-31 16:30:00","LABUAN BAJO","2.369",1,"2.487","-8.46055","119.9199"
"2025-08-31 16:20:00","LABUAN BAJO","2.359",1,"2.476","-8.46055","119.9199"
"2025-08-31 16:10:00","LABUAN BAJO","2.352",1,"2.469","-8.46055","119.9199"
"2025-08-31 16:00:00","LABUAN BAJO","2.329",1,"2.448","-8.46055","119.9199"
"2025-08-31 15:50:00","LABUAN BAJO","2.309",1,"2.425","-8.46055","119.9199"
"2025-08-31 15:40:00","LABUAN BAJO","2.307",1,"2.422","-8.46055","119.9199"
"2025-08-31 15:30:00","LABUAN BAJO","2.305",1,"2.417","-8.46055","119.9199"
"2025-08-31 15:20:00","LABUAN BAJO","2.291",1,"2.41","-8.46055","119.9199"
"2025-08-31 15:10:00","LABUAN BAJO","2.277",1,"2.395","-8.46055","119.9199"
"2025-08-31 15:00:00","LABUAN BAJO","2.275",1,"2.391","-8.46055","119.9199"
"2025-08-31 14:50:00","LABUAN BAJO","2.29",1,"2.406","-8.46055","119.9199"
"2025-08-31 14:40:00","LABUAN BAJO","2.288",1,"2.409","-8.46055","119.9199"
"2025-08-31 14:30:00","LABUAN BAJO","2.28",1,"2.396","-8.46055","119.9199"
"2025-08-31 14:20:00","LABUAN BAJO","2.294",1,"2.405","-8.46055","119.9199"
"2025-08-31 14:10:00","LABUAN BAJO","2.306",1,"2.422","-8.46055","119.9199"
"2025-08-31 14:00:00","LABUAN BAJO","2.314",1,"2.425","-8.46055","119.9199"
"2025-08-31 13:50:00","LABUAN BAJO","2.299",1,"2.413","-8.46055","119.9199"
